leak_coeff: 0.1,,,,,leak_coeff: 0.2,,,,,leak_coeff: 0.30000000000000004,,,,,leak_coeff: 0.4,,,,,leak_coeff: 0.5,,,,
leakage_position (foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet)
55,116.31233587549096,120.64485963983547,1519.4854616176358,1517.4264464953744,0.0,116.18549294380739,120.51801683383107,1521.305757692614,1517.188335070322,0.0,116.06658944623906,120.3991135286772,1523.0105840835183,1516.8353298613938,0.0,115.94355355361877,120.27607779458859,1524.7730516939794,1516.5405671058004,0.0,115.81934007699363,120.15186446723864,1526.5507830987137,1516.2616794499777,0.0
56,116.31233579430224,120.64485955842426,1519.4854596592047,1517.4264390775948,0.0,116.1854926182713,120.51801650783553,1521.3057673433811,1517.1883449521806,0.0,116.06658999101687,120.39911407278196,1523.0105638217083,1516.8353167226976,0.0,115.94355312764608,120.27607736771314,1524.7730486257622,1516.540558216264,0.0,115.81934016979628,120.15186455890029,1526.5507957900977,1516.2616895155118,0.0
57,116.31233591840105,120.64485968229656,1519.4854577664173,1517.426438595826,0.0,116.18549264552551,120.51801653464453,1521.3057535687244,1517.1883303291697,0.0,116.06658977966359,120.39911386075474,1523.0105596386504,1516.8353049481623,0.0,115.94355351494006,120.27607775408592,1524.7730763915265,1516.5405811245669,0.0,115.81934008157918,120.15186446955211,1526.5508003680197,1516.2616823475257,0.0
58,116.31233545524292,120.64485921890794,1519.4854635122076,1517.4264449715627,0.0,116.18549241422329,120.51801630288098,1521.3057553955448,1517.1883435561033,0.0,116.06659000713796,120.39911408754533,1523.0105631567478,1516.835310230285,0.0,115.9435531077934,120.27607734603104,1524.7730654519653,1516.5405818347238,0.0,115.81933979561845,120.15186418243823,1526.5508047922303,1516.2617135996236,0.0
59,116.31233537461534,120.64485913804351,1519.4854690679485,1517.4264624065358,0.0,116.1854925013643,120.51801638956223,1521.3057646044572,1517.188353961958,0.0,116.06658960042706,120.39911368016227,1523.010559127521,1516.835295364884,0.0,115.94355324363029,120.2760774809607,1524.773054877848,1516.5405808298678,0.0,115.81934022525814,120.1518646109616,1526.550801646381,1516.2616808699604,0.0
60,116.31233610411216,120.64485986731941,1519.4854671124262,1517.426452237678,0.0,116.18549251159152,120.51801639933626,1521.3057661913824,1517.1883530523367,0.0,116.06658949913677,120.39911357819312,1523.010562538692,1516.835292072001,0.0,115.94355321606933,120.27607745248324,1524.7730665663523,1516.5405956942666,0.0,115.81933990799821,120.1518642925571,1526.5507986059988,1516.261697291638,0.0
61,116.31233532691817,120.64485908989067,1519.48547243023,1517.426465995235,0.0,116.185492528376,120.51801641566361,1521.3057749242955,1517.1883589118995,0.0,116.06658945834597,120.39911353670956,1523.0105658420941,1516.8353129677118,0.0,115.94355340376048,120.27607763928775,1524.7730635024643,1516.5405587442442,0.0,115.81934019430162,120.15186457772809,1526.5507884827505,1516.2616926101703,0.0
62,116.31233593869001,120.64485970144248,1519.485463392547,1517.4264543665538,0.0,116.1854923308959,120.51801621773159,1521.3057692116881,1517.188355862723,0.0,116.06658947779279,120.39911355547221,1523.0105832008135,1516.8353187729244,0.0,115.94355345800068,120.27607769261304,1524.7730534643697,1516.540571122587,0.0,115.81933970242609,120.15186408471347,1526.550799882384,1516.2616993416866,0.0
63,116.31233582227985,120.64485958480518,1519.4854755854649,1517.4264548331494,0.0,116.18549230171288,120.518016188111,1521.3057566968828,1517.188327922704,0.0,116.06659005773619,120.39911413475572,1523.0105442576469,1516.8352829552002,0.0,115.94355311125706,120.27607734495518,1524.7730646270613,1516.5405820445217,0.0,115.81934006821132,120.15186444937531,1526.5507900556233,1516.2616789498936,0.0
64,116.3123358838109,120.64485964611683,1519.485459899277,1517.4264421689168,0.0,116.18549250940967,120.51801639534321,1521.3057720446527,1517.188346657408,0.0,116.066589704216,120.39911378054977,1523.0105545505467,1516.83529158665,0.0,115.94355313090033,120.27607736370078,1524.7730480234407,1516.5405644719783,0.0,115.8193399550427,120.15186433506926,1526.5508010780793,1516.2616827606344,0.0
65,116.312335798066,120.6448595601364,1519.4854717769833,1517.426457220912,0.0,116.1854925901532,120.51801647563497,1521.3057598684202,1517.1883434279953,0.0,116.06658982302707,120.39911389868297,1523.010551016524,1516.835286660093,0.0,115.9435531463228,120.27607737820387,1524.7730589303071,1516.540584412282,0.0,115.81933999820514,120.15186437708807,1526.5507982766787,1516.26169756601,0.0
