distance_between_leaks: 1 foot, number_of_leaks: 2
first_leak_position(foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
172,117.30482963122653,114.90699236540134,1258.1264260770781,1250.2674630278464
173,117.3048373766062,114.90698924753883,1258.126010994978,1250.2670610927962
174,117.30484509214264,114.9069860972407,1258.1255962721502,1250.266659420305
175,117.30485285273288,114.90698299665524,1258.1251810277083,1250.2662572881889
176,117.30486061118121,114.90697989447335,1258.1247658298382,1250.2658551037116
177,117.30486835861397,114.9069767794117,1258.12435073944,1250.2654531149058
178,117.30487611107854,114.90697366967326,1258.1239355843152,1250.2650511040013
179,117.30488383901867,114.9069705329232,1258.123520714678,1250.2646493472441
180,117.30489159959984,114.90696743315232,1258.123105494623,1250.2642471581698
181,117.30489932543266,114.90696429428164,1258.122690655471,1250.2638454134951
182,117.30490708645772,114.906961194827,1258.122275425421,1250.2634432497916
183,117.3049148359634,114.90695808244345,1258.1218603229547,1250.2630412338967
184,117.30492258401286,114.90695496841766,1258.1214452362753,1250.2626392426512
185,117.30493032849806,114.90695184979198,1258.1210301725234,1250.2622373641943
186,117.30493807682356,114.90694873645234,1258.1206150935716,1250.2618353418027
187,117.3049458109582,114.90694560791154,1258.120200192,1250.2614334238558
188,117.3049535868919,114.90694252459055,1258.119784781561,1250.2610311747865
189,117.30408347437977,114.90596240287466,1258.129301014465,1250.2705759515761
190,117.30409122851195,114.90595929547702,1258.1288858587577,1250.270173937024
191,117.30409895758768,114.90595616057222,1258.1284709962601,1250.269772172425
192,117.30410671094194,114.90595305293901,1258.1280558669357,1250.2693701122175
193,117.30411445817352,114.90594993777948,1258.127640787076,1250.2689682022224
194,117.30412221211334,114.90594683059612,1258.127225645828,1250.2685661684277
195,117.30412992025892,114.90594367353886,1258.1268110525573,1250.2681645444231
196,117.30413771094659,114.905940607197,1258.1263954943995,1250.2677621120265
197,117.3041454509452,114.9059374849275,1258.1259805234013,1250.2673602086363
198,117.30415319346797,114.90593436538576,1258.1255655211503,1250.2669582911647
199,117.30416093775588,114.90593124756327,1258.1251504923964,1250.266556385444
200,117.30416867425295,114.90592812109594,1258.124735552602,1250.2661545711899
201,117.30417642592236,114.9059250119062,1258.1243204526847,1250.2657525496286
202,117.30418419841571,114.90592192591309,1258.123905117646,1250.2653502958353
203,117.30419190307838,114.90591876473489,1258.1234905586027,1250.2649487841786
204,117.30419967229112,114.90591567464399,1258.1230752491256,1250.264546626492
205,117.30420740649073,114.90591254646738,1258.1226603596922,1250.264144778404
206,117.30421514396947,114.90590942156541,1258.1222454231092,1250.2637429386323
207,117.3042229050363,114.90590632325863,1258.1218302291452,1250.2633408012928
208,117.304230653246,114.90590321050145,1258.1214151771999,1250.2629388304306
209,117.30423838831442,114.90590008286956,1258.121000267098,1250.2625370407138
210,117.30424615169304,114.90589698653598,1258.1205850311712,1250.2621349582835
211,117.30425388544236,114.90589385805148,1258.1201701531065,1250.2617331303475
212,117.30426162623077,114.90589073798122,1258.1197552121644,1250.2613311671864
213,117.30426938301548,114.90588763394459,1258.1193400411025,1250.2609292158115
214,117.30427712399309,114.90588451338871,1258.1189250785042,1250.2605273359795
215,117.30428486195567,114.90588138960206,1258.1185101541862,1250.2601254830233
216,117.3042926113475,114.90587827818179,1258.1180950904557,1250.2597235439398
217,117.30430034823424,114.90587515354967,1258.117680188226,1250.2593216777714
218,117.30430810448456,114.90587204976524,1258.1172650476112,1250.2589196725557
219,117.30431586469945,114.90586895091296,1258.1168498768134,1250.258517573265
220,117.30432360677571,114.90586583182146,1258.1164349093954,1250.2581156909937
221,117.30433133487297,114.90586269731631,1258.1160201049563,1250.2577139577138
222,117.30433908062965,114.90585958205382,1258.1156050889224,1250.257312073881
223,117.30434683471084,114.90585647643877,1258.1151899896295,1250.256910061099
224,117.30435456319279,114.90585334220789,1258.1147751772562,1250.2565083575698
225,117.30436231319054,114.90585023256328,1258.1143601383587,1250.2561063483083
226,117.30437008757367,114.90584714978904,1258.1139448170372,1250.2557040971883
227,117.30437780488018,114.90584400317778,1258.1135301326074,1250.2553025320467
228,117.30438555613082,114.90584089477058,1258.11311507625,1250.2549005430137
229,117.30439330053268,114.90583777885234,1258.112700100541,1250.2544986256871
230,117.30440103694463,114.90583465298678,1258.112285186226,1250.2540969168817
231,117.30440878775153,114.90583154504284,1258.1118701621022,1250.253694849008
232,117.30441653962384,114.90582843673418,1258.1114550828358,1250.253292939724
233,117.30442427422719,114.90582530945474,1258.111040205499,1250.252891205688
234,117.3044320175538,114.90582219273047,1258.1106252538996,1250.2524892887088
235,117.3044397736897,114.90581908998537,1258.1102101495653,1250.252087261996
236,117.3044475191677,114.90581597530205,1258.109795163651,1250.2516853701284
237,117.30445527150763,114.9058128681339,1258.1093800972467,1250.2512834194256
238,117.3044630328358,114.90580977142068,1258.1089649418038,1250.2508813247773
239,117.30447074366455,114.90580661819027,1258.1085503491265,1250.2504798416894
240,117.30447849370668,114.90580350897373,1258.1081353232005,1250.2500778807091
241,117.30448623857208,114.90580039380745,1258.107720350378,1250.2496760044044
242,117.304493979732,114.9057972743368,1258.1073054153667,1250.2492741952126
243,117.30450171816028,114.90579415273848,1258.1068905363184,1250.2488723257331
244,117.30450948184979,114.90579105909944,1258.1064753673513,1250.2484701924911
245,117.30451720088618,114.90578791481076,1258.1060606773533,1250.248068672759
246,117.30452496866363,114.90578482509315,1258.1056454450759,1250.2476665720835
247,117.30453271127448,114.90578170791449,1258.1052305130884,1250.2472647040931
248,117.3045404633619,114.90577860120176,1258.1048154714,1250.2468627433213
249,117.30454820348149,114.90577548123727,1258.1044005675171,1250.2464609168626
250,117.30455597088475,114.9057723911815,1258.103985342259,1250.2460588359818
251,117.30456367702642,114.90576923352621,1258.1035708264603,1250.2456573931422
252,117.30457143496275,114.90576613311474,1258.1031557135755,1250.2452554122196
253,117.30457917819595,114.90576301743079,1258.1027407975869,1250.2448534872767
254,117.30458692265553,114.90575990165368,1258.1023258275861,1250.2444517101767
255,117.30459465934916,114.90575677849155,1258.1019109801346,1250.2440498926305
256,117.30460240443686,114.90575366401173,1258.1014960197688,1250.2436480564506
257,117.30461015078014,114.90575055129202,1258.1010810556597,1250.2432461732317
258,117.30461789786713,114.90574743995762,1258.100666098273,1250.2428442279409
259,117.30462564897762,114.90574433228511,1258.100251073547,1250.242442330293
260,117.30463338014407,114.90574120247831,1258.0998362756573,1250.2420406579547
261,117.30464112891248,114.90573809306449,1258.0994213016277,1250.2416387062185
262,117.30464889040837,114.905734997304,1258.0990061694554,1250.241236670992
263,117.30465661923863,114.90573186522033,1258.0985914075823,1250.2408350084575
264,117.3046643722702,114.90572875972016,1258.0981763625553,1250.240433115345
265,117.3046721027494,114.90572563007362,1258.0977615992874,1250.240031381622
266,117.30467984846946,114.9057225164719,1258.097346638315,1250.2396295794936
267,117.30468761630938,114.90571942848605,1258.0969314546312,1250.239227425798
268,117.30469534542638,114.90571629637229,1258.0965166810606,1250.2388258274118
269,117.30470308603745,114.90571317816695,1258.0961018081973,1250.2384239850985
270,117.30471082414593,114.90571005696759,1258.0956869584077,1250.2380221994963
271,117.30471858121089,114.9057069563073,1258.0952718784336,1250.2376202650325
272,117.30553522720615,114.90660410771221,1258.085705756215,1250.2280528393187
273,117.30554294362143,114.9066009625088,1258.0852911542452,1250.2276513068743
274,117.30555070811216,114.9065978697636,1258.0848759791745,1250.2272493481844
275,117.30555844828831,114.90659475128678,1258.084461116259,1250.2268475282508
276,117.30556618508528,114.90659162903191,1258.0840462910014,1250.2264457544325
277,117.30557392642767,114.90658851158167,1258.0836314080286,1250.226043962386
278,117.3055816993382,114.90658542959245,1258.0832161764577,1250.22564178349
279,117.30558943759343,114.90658230824857,1258.0828013153753,1250.2252400876885
280,117.30559718026417,114.90657919290446,1258.0823864350448,1250.2248382310765
281,117.30560492099755,114.9065760750201,1258.0819715662303,1250.224436443727
282,117.30561263592759,114.90657292793459,1258.081556975737,1250.2240350067873
283,117.30562040305287,114.90656983960653,1258.0811418134838,1250.2236329126672
284,117.30562812849259,114.9065667049458,1258.0807271248486,1250.2232312902825
285,117.30563587027747,114.9065635885655,1258.080312253891,1250.2228294790852
286,117.30564363401689,114.90656049626497,1258.0798971245483,1250.2224274633415
287,117.30565137530795,114.90655737918453,1258.0794822551748,1250.2220256859755
288,117.3056591184372,114.90655426432299,1258.079067370277,1250.2216238751316
