distance_between_leaks: 10 foot, number_of_leaks: 2
first_leak_position(foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
184,117.30408814564402,114.90595779990745,1258.1289747289798,1250.2701683157154
185,117.30409589470503,114.90595468718371,1258.128559639221,1250.2697663106949
186,117.30410360761607,114.90595153424502,1258.1281449587768,1250.2693647192955
187,117.3041113707685,114.9059484371909,1258.1277297096183,1250.2689625677888
188,117.30411911019775,114.90594531387654,1258.1273147329402,1250.26856067602
189,117.30412687367588,114.90594221732395,1258.126899484237,1250.268158518003
190,117.30413461057286,114.90593909126208,1258.1264845381786,1250.2677566592854
191,117.30414234320233,114.90593596047708,1258.126069641404,1250.26735485206
192,117.30415011916905,114.90593287795255,1258.1256542554215,1250.2669525566605
193,117.30415784346226,114.90592973796932,1258.125239455558,1250.2665508473096
194,117.3041655971618,114.90592663076374,1258.1248243246578,1250.2661488053852
195,117.30417332472119,114.90592349449072,1258.1244094902527,1250.2657470629217
196,117.30418109000128,114.90592040026687,1258.1239942315378,1250.2653448917583
197,117.3041888332931,114.90591728158748,1258.1235792214632,1250.2649429739743
198,117.30419659354462,114.90591418188512,1258.1231640226845,1250.2645408591823
199,117.30420431920852,114.90591104370863,1258.122749215861,1250.2641391401141
200,117.30421207095448,114.90590793458006,1258.1223341150617,1250.263737129278
201,117.30421983323868,114.90590483721427,1258.1219188960772,1250.2633350013487
202,117.30422756250427,114.9059017031421,1258.1215040519417,1250.2629332490746
203,117.30423530531097,114.9058985841939,1258.1210890561933,1250.262531343642
204,117.30424305317125,114.90589547088807,1258.1206740037403,1250.262129384979
205,117.3042508120595,114.9058923699771,1258.1202588306362,1250.2617272944276
206,117.30425853956568,114.90588923411362,1258.1198440117712,1250.2613255681333
207,117.30426630173122,114.90588613690221,1258.1194288029722,1250.2609234467964
208,117.30427404491576,114.90588301859962,1258.1190138101042,1250.2605215429023
209,117.30428179094794,114.90587990344507,1258.118598784343,1250.2601196148978
210,117.30428952524996,114.90587677542102,1258.1181838967893,1250.2597178061094
211,117.3042972653993,114.90587365382896,1258.117768941004,1250.2593159450103
212,117.30430501585542,114.90587054377963,1258.1173538710254,1250.2589139654358
213,117.30431276371384,114.90586743082943,1258.1169388300116,1250.2585120222739
214,117.30432050413071,114.90586430976347,1258.1165238782867,1250.2581101517414
215,117.30432825228026,114.90586119732703,1258.1161088396302,1250.2577081970448
216,117.30433598966692,114.90585807289214,1258.1156939221917,1250.2573063723455
217,117.30434374499319,114.90585496846515,1258.1152788035133,1250.2569043458386
218,117.30435150226607,114.90585186627597,1258.1148636647401,1250.256502295641
219,117.30435923439231,114.90584873614505,1258.1144488120985,1250.2561005315322
220,117.30436698513671,114.90584562674117,1258.1140337495513,1250.2556985617362
221,117.30437472814292,114.90584250881966,1258.1136187762334,1250.2552966755688
222,117.30438247934568,114.90583940004808,1258.1132037119107,1250.2548946995091
223,117.30439022081353,114.90583628045432,1258.1127887579364,1250.2544928384038
224,117.30439797100576,114.90583317063012,1258.1123737072453,1250.2540908780338
225,117.30440570389011,114.90583004163642,1258.1119588550482,1250.2536891098134
226,117.3044134577993,114.90582693599575,1258.1115437636024,1250.253287114261
227,117.30442121132232,114.9058238300468,1258.1111286806097,1250.2528851160914
228,117.304428953282,114.90582071121663,1258.1107137277013,1250.2524832561642
229,117.30443669832991,114.90581759591002,1258.110298742689,1250.252081357996
230,117.3044444291696,114.90581446477836,1258.1098839182598,1250.2516796280438
231,117.30445218622309,114.90581136291303,1258.1094687999655,1250.2512775972557
232,117.30445993696713,114.9058082541114,1258.109053755563,1250.2508756347793
233,117.30446766105307,114.90580511557013,1258.108639010963,1250.250473987824
234,117.30447542382879,114.90580202024279,1258.108223833291,1250.2500718920098
235,117.30448316690106,114.90579890298827,1258.1078088780014,1250.2496700252598
236,117.30449090832344,114.90579578386391,1258.1073939410733,1250.2492681867038
237,117.30449866327488,114.90579267994598,1258.1069788557238,1250.2488661848859
238,117.30450639400458,114.90578954905803,1258.106564043713,1250.2484644648487
239,117.30451412918718,114.90578642322355,1258.1061491846044,1250.2480626898907
240,117.30452186522156,114.90578329830147,1258.105734315066,1250.2476609150128
241,117.3045296173513,114.90578019133994,1258.1053192645645,1250.2472589587167
242,117.30453737226165,114.90577708761349,1258.1049041869176,1250.2468569618832
243,117.30454512800353,114.90577398478682,1258.1044890991602,1250.2464549643253
244,117.30455287308966,114.90577087010907,1258.1040741322674,1250.246053092608
245,117.30456058713439,114.90576772098605,1258.1036595198677,1250.245651567655
246,117.30456834484619,114.90576462049502,1258.1032444140542,1250.2452495504065
247,117.30457610854175,114.90576152671308,1258.1028292424107,1250.2448474660277
248,117.30458385476246,114.90575841348215,1258.1024142687547,1250.244445585646
249,117.30459157941667,114.90575527634772,1258.101999541589,1250.2440439450622
250,117.30459931847459,114.90575215528462,1258.1015846530734,1250.243642142865
251,117.30460708122165,114.90574906058869,1258.1011694965546,1250.2432400779833
252,117.30461483207107,114.90574595272057,1258.1007544769004,1250.2428381464629
253,117.30462256938418,114.9057428298232,1258.1003396114,1250.2424363704638
254,117.30463030879196,114.90573970925216,1258.09992472284,1250.242034577191
255,117.30463805769436,114.90573659938933,1258.0995097298608,1250.2416326672712
256,117.30464580396536,114.90573348655194,1258.0990947662003,1250.2412307980169
257,117.30465354523828,114.90573036824614,1258.0986798619024,1250.2408289813034
258,117.30466129240178,114.90572725652555,1258.0982648917968,1250.2404271006844
259,117.3046690137647,114.90572411612385,1258.0978502144715,1250.2400255148043
260,117.30467678974445,114.90572103657638,1258.0974349216872,1250.2396233086893
261,117.3046845115416,114.90571789674567,1258.0970202422302,1250.2392217204467
262,117.30469225223581,114.90571477799386,1258.0966053505672,1250.2388199189877
263,117.30470000227824,114.90571166972619,1258.0961903558923,1250.2384180089766
264,117.30470774730694,114.90570855589206,1258.0957754179635,1250.2380161603344
265,117.30552437946301,114.90660569120548,1258.0862094358731,1250.228448941602
266,117.30553213212974,114.90660258603165,1258.0857944145748,1250.2280470056514
267,117.30553988682038,114.90659948316947,1258.0853793718802,1250.227645046418
268,117.30554762396572,114.90659636069088,1258.0849645257335,1250.2272433015348
269,117.30555534943352,114.90659322539528,1258.0845498166484,1250.2268416757324
270,117.30556310739527,114.9065901262803,1258.0841347405953,1250.2264396859307
271,117.30557084196404,114.90658700113336,1258.0837199293107,1250.2260379668692
272,117.30557859568223,114.90658389737868,1258.0833049040655,1250.2256360281945
273,117.30558635239434,114.90658079693937,1258.0828898444604,1250.2252340634195
274,117.30559409056947,114.90657767601189,1258.0824749986587,1250.2248322993576
275,117.30560183184934,114.90657455846475,1258.08206011575,1250.224430514183
276,117.30560955686576,114.90657142296739,1258.081645421426,1250.224028903128
277,117.3056173104355,114.90656831922477,1258.0812304032477,1250.2236269770929
278,117.30562505387691,114.9065652042954,1258.0808155024629,1250.2232251626215
279,117.30563281777357,114.9065621121495,1258.080400370797,1250.2228231204344
280,117.30564053328375,114.90655896621595,1258.0799857886514,1250.2224216256318
281,117.30564829436491,114.90655587100495,1258.0795706908318,1250.2220196200237
282,117.30565602706025,114.90655274433715,1258.079155918444,1250.221617927468
283,117.30566376745787,114.9065496261645,1258.0787410567275,1250.2212161619598
284,117.30567153835351,114.90654654201728,1258.078325852496,1250.2208140479902
285,117.30567925369472,114.90654339610087,1258.077911278538,1250.220412563027
286,117.30568699521858,114.90654027941729,1258.0774964111963,1250.2200107774026
287,117.30569475215866,114.90653717982748,1258.0770813681784,1250.2196088299493
288,117.3057025068776,114.90653407792942,1258.0766663543077,1250.21920689605
289,117.30571023975568,114.90653095168628,1258.076251587248,1250.2188052196307
290,117.30571798798942,114.90652784257344,1258.0758366472355,1250.218403370929
291,117.3057257134877,114.90652470818695,1258.0754219655264,1250.2180017826336
292,117.30573348387757,114.90652162380746,1258.0750067778904,1250.2175996868177
293,117.30574122242241,114.90651850410592,1258.0745919533786,1250.2171979449433
294,117.30574895410058,114.90651537676472,1258.074177207059,1250.2167962865824
295,117.30575667756055,114.90651224024869,1258.07376255331,1250.2163947304368
296,117.30576440776076,114.9065091114642,1258.0733478294974,1250.2159930790947
297,117.30577206220248,114.906505898205,1258.0729339584832,1250.2155923094158
298,117.30577957870277,114.90650253157438,1258.0725216526607,1250.215193092465
299,117.30490876282296,114.90552162501281,1258.082046055563,1250.2247461645354
300,117.30491432903013,114.90551608783697,1258.0816558172237,1250.2243690496755
301,117.30491536545031,114.90550550921289,1258.0813168238708,1250.2240432695235
