,leak_coeff: 0.5,,,
leakage_position (foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
129,117.35422927713097,114.94388781034995,1257.0630593916567,1251.6479405029154
130,117.35423439799872,114.94388540914457,1257.062775580524,1251.6476673405766
131,117.35423952582003,114.94388301570852,1257.0624916920156,1251.6473941008508
132,117.35424464488358,114.94388061255937,1257.0622079036257,1251.6471209612575
133,117.35424978142272,114.94387822889631,1257.061923918756,1251.6468476245097
134,117.35425491189432,114.94387583851189,1257.0616400035108,1251.646574357679
135,117.35426002880789,114.94387343307075,1257.0613562423541,1251.6463012454592
136,117.3542651430927,114.9438710247365,1257.0610725123158,1251.6460281641116
137,117.35427027605279,114.94386863722313,1257.060788571716,1251.6457548720748
138,117.35427535890405,114.94386619396643,1257.0605051991674,1251.6454821492096
139,117.35428052276178,114.94386384091128,1257.060220911256,1251.645208509024
140,117.35428562263284,114.94386141667336,1257.0599373474408,1251.644935594542
141,117.35429075400826,114.94385902752873,1257.0596534291046,1251.6446623246882
142,117.35429587932502,114.94385663167611,1257.0593695806463,1251.644389124287
143,117.3543010004221,114.94385423115999,1257.0590857802536,1251.6441159727692
144,117.35430614122484,114.94385185261415,1257.0588017577736,1251.6438425986275
145,117.35431126331913,114.94384945327728,1257.0585179484806,1251.6435694376053
146,117.35431636716709,114.94384703365947,1257.058234346569,1251.6432964849214
147,117.35432150295733,114.94384464963319,1257.0579503839117,1251.6430231708223
148,117.35432659478568,114.94384221670583,1257.0576669197933,1251.6427503561963
149,117.35433173649058,114.94383983933002,1257.0573828927188,1251.6424769770858
150,117.35433685985002,114.94383744156944,1257.0570990736858,1251.642203806783
151,117.35434199079317,114.94383505228063,1257.0568151704047,1251.641930551834
152,117.35434709162885,114.94383262951649,1257.0565316087134,1251.6416576388401
153,117.35435222556877,114.94383024363098,1257.0562476732348,1251.6413843519044
154,117.35435734204786,114.94382783834384,1257.0559639361638,1251.6411112638946
155,117.35436247395529,114.94382545026319,1257.0556800259594,1251.640838002013
156,117.35436759560388,114.94382305080312,1257.0553962325296,1251.640564856825
157,117.35437272394277,114.94382065881724,1257.0551123646878,1251.640291637452
158,117.35437784432433,114.94381825800787,1257.0548285876,1251.6400185092864
159,117.35438296857639,114.94381586154279,1257.0545447678705,1251.6397453379961
160,117.35438808021193,114.94381345106397,1257.0542610921964,1251.6394723111418
161,117.35439321627207,114.94381106781184,1257.0539771404844,1251.639199007794
162,117.3543983368587,114.9438086673643,1257.0536933653882,1251.638925881425
163,117.35440347018134,114.94380628113194,1257.05340944731,1251.6386526111432
164,117.3544085665549,114.94380385380057,1257.0531259481625,1251.6383797612405
165,117.354413698727,114.94380146635173,1257.0528420443345,1251.6381065063622
166,117.35441882328142,114.94379907045891,1257.0525582287207,1251.6378333386501
167,117.35442393626852,114.94379666172131,1257.0522745445348,1251.6375603033914
168,117.3544290795634,114.94379428675376,1257.0519905184394,1251.637286925458
169,117.35443420104727,114.94379188754299,1257.051706739988,1251.637013795702
170,117.35443930641884,114.9437894704308,1257.0514231450627,1251.6367408496576
171,117.35444442319344,114.943787066047,1257.0511394217558,1251.636467775147
172,117.35444954182803,114.94378466376449,1257.050855679083,1251.6361946808106
173,117.35445466895231,114.94378227096587,1257.0505718409506,1251.635921491212
174,117.35445980477014,114.94377988787737,1257.0502879057176,1251.6356482040833
175,117.35446493828277,114.94377750225797,1257.0500039973642,1251.6353749439604
176,117.35447002988037,114.94377507001352,1257.0497205642725,1251.6351021603496
177,117.35447515964891,114.94377268029514,1257.0494367004899,1251.6348289445432
178,117.35448028870209,114.94377028981309,1257.0491528455445,1251.6345557379727
179,117.35448544271395,114.94376792714333,1257.048868709476,1251.6342822497418
180,117.35449052372286,114.94376548325057,1257.0485854001295,1251.6340095898465
181,117.35361776185934,114.94278589632808,1257.0582353364268,1251.6436905203175
182,117.35362290762646,114.94278352456172,1257.0579512972042,1251.6434171293956
183,117.35362802032007,114.94278111600973,1257.0576676333242,1251.6431441149582
184,117.35363316270107,114.9427787405414,1257.057383634606,1251.6428707644488
185,117.35363825666619,114.94277631120886,1257.0571001849207,1251.6425979644528
186,117.35364339272347,114.94277392876683,1257.0568162597965,1251.6423246878594
187,117.35364851111441,114.94277152669609,1257.056532535316,1251.642051612345
188,117.35365363841923,114.9427691345743,1257.056248711337,1251.6417784374698
189,117.35365874634172,114.94276672091749,1257.0559651074846,1251.641505482736
190,117.35366385665276,114.94276430995032,1257.0556814776023,1251.6412325022118
191,117.35366900204757,114.94276193806814,1257.0553974521642,1251.6409591249826
192,117.35367411901483,114.94275953458073,1257.0551137487407,1251.640686070663
193,117.35367924275167,114.9427571386585,1257.0548299699785,1251.6404129409775
194,117.3536843524462,114.94275472713625,1257.0545463516382,1251.6401399718022
195,117.35368948151824,114.94275233722192,1257.0542625145179,1251.639866783437
196,117.3536946116548,114.94274994852685,1257.0539786663358,1251.639593583939
197,117.35369972651323,114.94274754285497,1257.0536949921309,1251.639320559099
198,117.353704851413,114.9427451484012,1257.0534112053563,1251.639047420655
199,117.35370997449434,114.94274275194907,1257.0531274402042,1251.6387743046512
200,117.35371509312542,114.94274035057862,1257.0528437262228,1251.638501239945
201,117.35372020662778,114.94273794353568,1257.0525600718238,1251.6382282340928
202,117.35372532499129,114.9427355419351,1257.0522763628255,1251.6379551743912
203,117.35373046276092,114.94273316196995,1257.0519924354694,1251.6376818955964
204,117.35373557032183,114.94273074841271,1257.0517088513457,1251.637408960305
205,117.35374071724223,114.94272837869865,1257.051424822191,1251.6371355799972
206,117.35374584202424,114.94272598438141,1257.051141044642,1251.6368624510988
207,117.35375095198162,114.94272357359,1257.0508574362432,1251.6365894919375
208,117.35375607285401,114.9427211749842,1257.0505737050587,1251.6363164097936
209,117.35376120353654,114.94271878733345,1257.0502898641616,1251.6360432172473
210,117.35376630475959,114.94271636692244,1257.0500063574702,1251.6357703599551
211,117.35377143191594,114.94271397541286,1257.0497225582599,1251.6354972095237
212,117.35377655636425,114.94271158092411,1257.049438790481,1251.6352240906501
213,117.3537816752536,114.9427091802807,1257.0491550869854,1251.6349510358534
214,117.35378679091916,114.94270677608107,1257.0488714208934,1251.6346780187637
215,117.35379193011877,114.9427043981076,1257.0485874896233,1251.6344047362177
216,117.3537970415087,114.94270198921556,1257.048303873886,1251.634131769666
217,117.35380215065054,114.9426995778538,1257.048020284887,1251.633858829699
218,117.35380729337464,114.94269720391294,1257.0477363165137,1251.6335855093294
219,117.35381240977127,114.94269480069266,1257.047452647352,1251.6333124892492
220,117.3538175396302,114.94269241249586,1257.047168826513,1251.6330393170563
221,117.35463114265194,114.94358995160337,1257.0377366890236,1251.6235990740674
222,117.35463625859688,114.94358754800935,1257.0374530269787,1251.6233260604065
223,117.35464137561705,114.9435851456398,1257.037169354304,1251.6230530361654
224,117.35464651771402,114.94358277122254,1257.0368853983798,1251.6227797280712
225,117.3546516249408,114.94358035802036,1257.0366018381608,1251.6225068167685
226,117.35465676547139,114.94357798192583,1257.036317901833,1251.6222335285559
227,117.35466189693882,114.9435755957751,1257.0360340695106,1251.6219603442478
228,117.35466699195815,114.94357316908953,1257.0357506502996,1251.6216875739647
229,117.35467212333447,114.94357078290665,1257.035466820785,1251.6214143925042
230,117.35467723162202,114.94356837105292,1257.035183253935,1251.6211414742424
231,117.35468235319173,114.94356597402006,1257.0348995372228,1251.6208684061382
232,117.35468748850997,114.94356359232383,1257.0346156663154,1251.6205951832108
233,117.35469260436177,114.94356118899364,1257.0343320165796,1251.620322181928
234,117.35469771407261,114.9435587788571,1257.0340484375308,1251.620049251733
235,117.35470284410371,114.943556391382,1257.0337646289177,1251.619776091229
236,117.35470794589465,114.94355397249817,1257.0334811416042,1251.6195032527137
237,117.35471308527973,114.94355159549718,1257.0331972296879,1251.6192299886864
238,117.35471818837749,114.94354917813855,1257.0329137293595,1251.618957137034
239,117.35472331171212,114.94354678333991,1257.0326300007994,1251.618684056907
240,117.35472842664561,114.94354437922348,1257.032346368439,1251.6184110730326
241,117.3547335876131,114.94354202637952,1257.0320622165682,1251.6181375684423
242,117.35473869899224,114.94353961837378,1257.031778626254,1251.6178646269104
243,117.35474381442312,114.94353721491035,1257.0314949916924,1251.6175916405598
244,117.35474893240233,114.94353481431763,1257.0312113289717,1251.617318626288
245,117.35475404747237,114.94353241051988,1257.0309277005692,1251.6170456460334
246,117.35475917063891,114.94353001576806,1257.0306439810363,1251.6167725750126
247,117.35476428246949,114.94352760843016,1257.0303603909722,1251.6164996336772
248,117.35476941739097,114.94352522683184,1257.0300765408253,1251.616226431199
249,117.35477452426353,114.9435228140439,1257.0297930089869,1251.6159535479242
250,117.35477965339453,114.94352042606698,1257.0295092259532,1251.615680413176
251,117.35478477208424,114.9435180264987,1257.0292255622383,1251.615407398092
252,117.35478989269441,114.94351562910617,1257.0289418779782,1251.6151343617623
253,117.35479500513985,114.94351322265766,1257.028658286875,1251.614861419167
254,117.35480015173513,114.94351085425107,1257.0283743108234,1251.61458809082
255,117.35480524706374,114.94350842881524,1257.0280909155192,1251.6143153444734
256,117.35481037360088,114.94350603815275,1257.0278071682,1251.6140422451715
257,117.35481548027984,114.94350362541849,1257.0275236466023,1251.613769372132
258,117.35482060847777,114.94350123667307,1257.0272398822176,1251.6134962559033
259,117.35482573622612,114.94349884745559,1257.026956124192,1251.6132231463234
260,117.35483086897447,114.9434964638405,1257.0266723108055,1251.6129499807105
261,117.35483597984694,114.94349405590998,1257.0263887455646,1251.6126770640187
262,117.35484109668292,114.94349165464959,1257.0261051142948,1251.612404080864
263,117.3548462268752,114.94348926829053,1257.0258213325064,1251.6121309472333
264,117.35485132482845,114.94348684608025,1257.0255379165399,1251.6118581800515
265,117.35485645676198,114.9434844617255,1257.0252541173354,1251.6115850288013
266,117.35486158041951,114.94348206819127,1257.024970412669,1251.6113119725023
267,117.35486668626429,114.9434796548656,1257.0246869107402,1251.6110391188959
268,117.35487182348204,114.94347727649611,1257.024403054348,1251.6107659105198
269,117.3548769478036,114.94347488380261,1257.024119345267,1251.6104928496352
270,117.35488205599728,114.94347247318971,1257.0238358197678,1251.6102199727027
271,117.35488717863403,114.94347007868963,1257.0235521318791,1251.609946932765
272,117.35489228866481,114.94346767019016,1257.0232685874814,1251.6096740368926
273,117.35489741257638,114.9434652771771,1257.0229848868737,1251.609400984452
274,117.3549025383261,114.94346288624097,1257.0227011668678,1251.6091279124494
275,117.3549076563129,114.9434604867009,1257.0224175350802,1251.6088549291417
276,117.35491277206505,114.94345808470518,1257.0221339301258,1251.6085819723426
277,117.35491789993509,114.94345569623242,1257.021850188814,1251.608308879093
278,117.35492299927378,114.94345327603268,1257.0215667715217,1251.6080361105408
279,117.35492813323405,114.94345089440334,1257.0212829636862,1251.6077629505453
280,117.35493326160541,114.94344850658919,1257.0209992197385,1251.6074898546642
281,117.35493836273754,114.94344608848672,1257.0207157852751,1251.607217068783
282,117.35494350837101,114.9434437199553,1257.0204318478275,1251.6069437791248
283,117.35494860510575,114.94344129702614,1257.0201484652337,1251.606671045021
284,117.35495371891359,114.94343889313376,1257.0198648902644,1251.6063981184814
285,117.3549588456967,114.94343650371908,1257.0195811693332,1251.6061250457226
286,117.35496396331519,114.94343410413728,1257.0192975533014,1251.6058520778142
287,117.35496909236856,114.94343171731845,1257.019013808812,1251.6055789811624
288,117.35497419110642,114.94342929678399,1257.018730408408,1251.6053062297258
289,117.35497933156076,114.94342692272362,1257.018446537008,1251.6050330057483
290,117.35498446099102,114.94342453642348,1257.018162791326,1251.6047599080202
291,117.35498954707144,114.9434221019021,1257.0178795372346,1251.6044873029682
292,117.35499470660633,114.94341974918127,1257.0175954527392,1251.604213865705
293,117.35499980861373,114.94341733245638,1257.0173120203308,1251.6039410820158
294,117.35500492333051,114.94341492991354,1257.017028445277,1251.6036681550747
295,117.35501005224089,114.94341254320145,1257.0167447107115,1251.603395068414
296,117.35501518523053,114.94341016106718,1257.0164609305862,1251.60312193616
